tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
5,1,0,1,0,0,0,0,0
6,1,0,1,0,236.401,210.2,21,0
7,1,10,0,0,213.4,105.682,21,0
8,1,10,0,0,226.6,320.535,21,0
9,1,10,0,0,110.2,259.418,21,0
10,1,10,0,0,329.8,191.011,21,0
11,1,20,0,0,210.2,31.1662,21,0
12,1,20,0,0,229.8,408.83,21,0
13,1,20,0,0,31.1617,229.8,21,0
14,1,20,0,0,408.849,210.2,21,0
paquetes recibidos, entidades en rango 
1,1

tiempo actual: 23.1 ocurrencia numero: 1
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 28.1 ocurrencia numero: 2
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,0,0,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 33.1 ocurrencia numero: 3
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,1,30,0,0,210.2,34.3398,32,0
16,1,30,0,0,229.8,405.566,32,0
17,1,30,0,0,34.3261,229.8,32,0
18,1,30,0,0,405.766,210.2,32,0
19,1,32,0,0,0,0,0,0
20,1,32,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 38.1 ocurrencia numero: 4
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,1,30,0,0,213.4,77.6977,37,0
16,1,30,0,0,226.6,362.316,37,0
17,1,30,0,0,70.4111,229.8,37,0
18,1,30,0,0,360.485,210.2,37,0
19,1,32,0,0,210.2,55.0357,37,0
20,1,32,0,0,229.8,384.477,37,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 43.1 ocurrencia numero: 5
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,1,30,0,0,213.4,127.156,42,0
16,1,30,0,0,226.6,312.967,42,0
17,1,30,0,0,109.439,232.264,42,0
18,1,30,0,0,329.8,177.544,42,0
19,1,32,0,0,210.2,106.751,42,0
20,1,32,0,0,229.8,325.216,42,0
21,1,40,0,0,210.2,34.34,42,0
22,1,40,0,0,229.8,405.527,42,0
23,1,40,0,0,34.3696,229.8,42,0
24,1,40,0,0,405.531,210.2,42,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 48.1 ocurrencia numero: 6
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
15,1,30,1,0,213.4,183.33,47,1
16,1,30,1,0,226.6,258.722,47,0
17,1,30,0,0,110.2,272.023,47,0
18,1,30,0,0,329.8,116.384,47,0
19,1,32,0,0,210.2,152.728,47,0
20,1,32,0,0,229.8,271.858,47,0
21,1,40,0,0,210.2,75.1195,47,0
22,1,40,0,0,229.8,361.798,47,0
23,1,40,0,0,71.2691,229.8,47,0
24,1,40,0,0,362.923,210.2,47,0
paquetes recibidos, entidades en rango 
2,4

tiempo actual: 53.1 ocurrencia numero: 7
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
25,1,50,0,0,210.2,34.4403,52,0
